question;first;second;third;
В соответствии с Федеральным законом «Об оружии» граждане Российской Федерации могут применять имеющееся у них на законных основаниях оружие:;Для защиты чести и достоинства граждан при любой угрозе данным правоохраняемым интересам.;Только для защиты жизни и здоровья в состоянии необходимой обороны или крайней необходимости.;"Для защиты жизни, здоровья и собственности в состоянии необходимой обороны или крайней необходимости.";3
"В соответствии с Федеральным законом «Об оружии» применению оружия должно предшествовать четко выраженное предупреждение об этом лица, против которого применяется оружие:";Во всех случаях применения оружия;"Кроме случаев, когда правонарушитель скрывается с места правонарушения";"За исключением случаев, когда промедление в применении оружия создает непосредственную опасность для жизни людей или может повлечь за собой иные тяжкие последствия";3
"В соответствии с Федеральным законом «Об оружии» применение огнестрельного оружия гражданами в отношении женщин, лиц с явными признаками инвалидности и несовершеннолетних, когда их возраст очевиден или известен допускается:";В случае применения оружия при ограниченной видимости вследствие погодных условий.;В случае значительного скопления людей.;В случае совершения указанными лицами группового или вооруженного нападения.;3
"В каких случаях факт того, что гражданин ранее был осужден за преступление, не является препятствием для выдачи ему лицензии на приобретение оружия?";"В случае если гражданин имеет судимость за преступление, совершенное по неосторожности, либо в случае погашения или снятия судимости (кроме случая погашения или снятия судимости за тяжкое или особо тяжкое преступление, совершенное с применением оружия).";"В случае если гражданин имеет судимость за преступление, совершенное по неосторожности, либо в случае погашения или снятия судимости (включая случай погашения или снятия судимости за тяжкое или особо тяжкое преступление, совершенное с применением оружия).";"В случае если гражданин имеет судимость за преступление, совершенное по неосторожности, либо осужден условно.";1
"Обязаны ли граждане (за исключением специально уполномоченных лиц), являющиеся пассажирами воздушного судна гражданской авиации, сдавать имеющееся у них оружие уполномоченным лицам для временного хранения на период полёта? ";Обязаны во всех случаях.;"Обязаны, кроме случаев, когда оружие находится в его багаже.";Не обязаны.;1
"При необходимой обороне субъектом посягательства, отражаемого обороняющимся, является:";Человек (физическое лицо).;Стихия (силы природы).;"Источник повышенной опасности (оружие, автомобиль и пр.).";1
Могут ли действия граждан по защите других лиц расцениваться как действия в состоянии необходимой обороны:;Не могут ни при каких условиях.;"Могут, если соблюдены условия необходимой обороны, предусмотренные законом.";Могут только в случаях непосредственной угрозы жизни.;2
Допускается ли причинение вреда третьим лицам в состоянии необходимой обороны? ;"Да, при групповом нападении.";"Да, при вооружённом нападении.";Нет.;3
"В соответствии с Гражданским кодексом РФ вред, причинённый в состоянии крайней необходимости:";Не подлежит возмещению;"Во всех случаях подлежит возмещению в полном объёме лицом, причинившим вред";Подлежит возмещению по решению суда;3
"Причинение вреда, менее значительного, чем предотвращённый вред, является обязательным условием правомерности действий:";В состоянии необходимой обороны;В состоянии крайней необходимости;"Как в состоянии необходимой обороны, так и в состоянии крайней необходимости";2
"Небрежное хранение огнестрельного оружия, создавшее условия для его использования другим лицом, если это повлекло смерть человека или иные тяжкие последствия, влечет:";Уголовную ответственность.;Административную ответственность.;Уголовную и административную ответственность.;1
Нарушение гражданами правил ношения оружия и патронов к нему влечет:;Уголовную ответственность;Административную ответственность;Уголовную и административную ответственность;2
В соответствии с Федеральным законом «Об оружии» охотничье пневматическое оружие может иметь дульную энергию:;Не более 3 Дж;"Не более 7,5 Дж";Не более 25 Дж;3
В какой срок и куда в соответствии с Федеральным законом «Об оружии» владелец оружия обязан сообщить о каждом случае его применения?;"Незамедлительно, но не позднее суток, прокурору и в органы здравоохранения, по месту применения оружия";"Незамедлительно, но не позднее суток, в орган внутренних дел по месту применения оружия";"Незамедлительно, но не позднее 6 часов, прокурору, в органы здравоохранения и в орган внутренних дел по месту применения оружия";2
"Обязан ли гражданин незамедлительно информировать органы внутренних дел в случае, если он применил оружие для производства предупредительного выстрела?";Обязан информировать орган внутренних дел по месту применения оружия;"Не обязан, поскольку нет пострадавших";Обязан информировать орган внутренних дел по месту регистрации оружия;1
"Правилами оборота гражданского и служебного оружия на территории Российской Федерации предусмотрено, что досылание патрона в патронник разрешается:";"Только при необходимости применения оружия либо для защиты жизни, здоровья и собственности в состоянии необходимой обороны или крайней необходимости";"При необходимости применения оружия, а также в любых других опасных ситуациях";"При необходимости применения оружия, а также при охране денежных средств и ценных грузов";1
"На основании Правил оборота гражданского и служебного оружия на территории Российской Федерации граждане, осуществляющие ношение оружия, должны иметь при себе:";"Документы, удостоверяющие их личность, паспорт на оружие от предприятия-производителя";"Выданное органом внутренних дел разрешение на хранение и ношение имеющегося у них оружия, медицинское заключение об отсутствии медицинских противопоказаний к владению оружием";"Документы, удостоверяющие их личность, а также выданные органом внутренних дел лицензию либо разрешение на хранение и ношение имеющегося у них оружия";3
В соответствии с Федеральным законом «Об оружии» к основным частям огнестрельного оружия относятся:;"Ствол, затвор, барабан, рамка, ствольная коробка";"Ствол, затворная рама, крышка ствольной коробки, приклад, рукоятка";"Ствол, магазин, барабан, рамка, ствольная коробка, патрон";1
В соответствии с Федеральным законом «Об оружии» к огнестрельному оружию ограниченного поражения могут быть отнесены:;"Короткоствольное оружие и длинноствольное оружие, использующее патроны травматического действия";"Короткоствольное оружие и бесствольное оружие, использующее патроны травматического действия";"Короткоствольное, длинноствольное оружие и бесствольное оружие, использующее патроны травматического действия";2
